timestamp_s,luminance
0.000000,4.000000
0.005000,4.000000
0.010000,4.000000
0.015000,4.000000
0.020000,4.000000
0.025000,4.000000
0.030000,4.000000
0.035000,4.000000
0.040000,4.000000
0.045000,4.000000
0.050000,4.000000
0.055000,1.000000
0.060000,1.000000
0.065000,1.000000
0.070000,1.000000
0.075000,1.000000
0.080000,1.000000
0.085000,1.000000
0.090000,1.000000
0.095000,1.000000
0.100000,1.000000
0.105000,4.000000
0.110000,4.000000
0.115000,4.000000
0.120000,4.000000
0.125000,4.000000
0.130000,4.000000
0.135000,4.000000
0.140000,4.000000
0.145000,4.000000
0.150000,4.000000
0.155000,1.000000
0.160000,1.000000
0.165000,1.000000
0.170000,1.000000
0.175000,1.000000
0.180000,1.000000
0.185000,1.000000
0.190000,1.000000
0.195000,1.000000
0.200000,1.000000
0.205000,4.000000
0.210000,4.000000
0.215000,4.000000
0.220000,4.000000
0.225000,4.000000
0.230000,4.000000
0.235000,4.000000
0.240000,4.000000
0.245000,4.000000
0.250000,4.000000
0.255000,1.000000
0.260000,1.000000
0.265000,1.000000
0.270000,1.000000
0.275000,1.000000
0.280000,1.000000
0.285000,1.000000
0.290000,1.000000
0.295000,1.000000
0.300000,1.000000
0.305000,4.000000
0.310000,4.000000
0.315000,4.000000
0.320000,4.000000
0.325000,4.000000
0.330000,4.000000
0.335000,4.000000
0.340000,4.000000
0.345000,4.000000
0.350000,4.000000
0.355000,1.000000
0.360000,1.000000
0.365000,1.000000
0.370000,1.000000
0.375000,1.000000
0.380000,1.000000
0.385000,1.000000
0.390000,1.000000
0.395000,1.000000
0.400000,1.000000
0.405000,4.000000
0.410000,4.000000
0.415000,4.000000
0.420000,4.000000
0.425000,4.000000
0.430000,4.000000
0.435000,4.000000
0.440000,4.000000
0.445000,4.000000
0.450000,4.000000
0.455000,1.000000
0.460000,1.000000
0.465000,1.000000
0.470000,1.000000
0.475000,1.000000
0.480000,1.000000
0.485000,1.000000
0.490000,1.000000
0.495000,1.000000
0.500000,1.000000
0.505000,4.000000
0.510000,4.000000
0.515000,4.000000
0.520000,4.000000
0.525000,4.000000
0.530000,4.000000
0.535000,4.000000
0.540000,4.000000
0.545000,4.000000
0.550000,1.000000
0.555000,1.000000
0.560000,1.000000
0.565000,1.000000
0.570000,1.000000
0.575000,1.000000
0.580000,1.000000
0.585000,1.000000
0.590000,1.000000
0.595000,1.000000
0.600000,1.000000
0.605000,4.000000
0.610000,4.000000
0.615000,4.000000
0.620000,4.000000
0.625000,4.000000
0.630000,4.000000
0.635000,4.000000
0.640000,4.000000
0.645000,4.000000
0.650000,1.000000
0.655000,1.000000
0.660000,1.000000
0.665000,1.000000
0.670000,1.000000
0.675000,1.000000
0.680000,1.000000
0.685000,1.000000
0.690000,1.000000
0.695000,1.000000
0.700000,1.000000
0.705000,4.000000
0.710000,4.000000
0.715000,4.000000
0.720000,4.000000
0.725000,4.000000
0.730000,4.000000
0.735000,4.000000
0.740000,4.000000
0.745000,4.000000
0.750000,4.000000
0.755000,1.000000
0.760000,1.000000
0.765000,1.000000
0.770000,1.000000
0.775000,1.000000
0.780000,1.000000
0.785000,1.000000
0.790000,1.000000
0.795000,1.000000
0.800000,1.000000
0.805000,4.000000
0.810000,4.000000
0.815000,4.000000
0.820000,4.000000
0.825000,4.000000
0.830000,4.000000
0.835000,4.000000
0.840000,4.000000
0.845000,4.000000
0.850000,4.000000
0.855000,1.000000
0.860000,1.000000
0.865000,1.000000
0.870000,1.000000
0.875000,1.000000
0.880000,1.000000
0.885000,1.000000
0.890000,1.000000
0.895000,1.000000
0.900000,1.000000
0.905000,4.000000
0.910000,4.000000
0.915000,4.000000
0.920000,4.000000
0.925000,4.000000
0.930000,4.000000
0.935000,4.000000
0.940000,4.000000
0.945000,4.000000
0.950000,4.000000
0.955000,1.000000
0.960000,1.000000
0.965000,1.000000
0.970000,1.000000
0.975000,1.000000
0.980000,1.000000
0.985000,1.000000
0.990000,1.000000
0.995000,1.000000
